model,p,answer,status
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,55,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
anthropic/claude-4.5-sonnet,60,1,success
