model,optimal_p,b_count,answer
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,40.0,1500,0
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,60.0,667,1
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
openai/gpt-5,1.0,99000,0
