model,optimal_p,affordable_payoff,answer
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,affordable
anthropic/claude-4.5-sonnet,10,1.0,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
anthropic/claude-4.5-sonnet,40,6.7,affordable
anthropic/claude-4.5-sonnet,40,6.7,luxury
