model,optimal_p,payoff_ratio,answer
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,1
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,40,1.5,0
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,60,0.67,1
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,1,100.0,0
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
openai/gpt-5,99,0.01,1
