Pairs,Gemini,Claude,GPT 5,Kimi,Qwen
37 50,60.00%,100.00%,71.00%,48.00%,100.00%
day night,59.50%,98.00%,62.00%,89.00%,100.00%
human alien,96.00%,98.00%,31.50%,71.00%,100.00%
rich poor,86.00%,0.00%,93.94%,92.00%,100.00%
woman man,45.00%,6.00%,89.00%,74.00%,100.00%
cat dog,75.00%,56.00%,54.00%,81.00%,100.00%
black white,53.00%,0.00%,81.00%,68.00%,100.00%
sun moon,100.00%,0.00%,39.39%,80.00%,100.00%
adult child,87.00%,53.00%,75.00%,81.00%,100.00%
1 0,89.00%,78.00%,99.00%,79.00%,100.00%
Luxury Affordable,79.00%,100.00%,84.85%,23.00%,100.00%
