Pairs,Gemini,Claude,GPT 5,Kimi,Qwen
50 37,24.00%,0.00%,57.00%,39.00%,0.00%
night day,91.00%,32.00%,24.00%,40.00%,98.00%
alien human,84.00%,100.00%,10.00%,12.00%,0.00%
poor rich,81.00%,26.00%,93.00%,63.00%,0.00%
man woman,42.00%,94.00%,86.00%,18.00%,0.00%
dog cat,23.00%,97.00%,28.00%,14.00%,0.00%
white black,47.00%,100.00%,35.00%,43.00%,0.00%
moon sun,96.00%,3.00%,19.39%,29.00%,0.00%
child adult,68.00%,45.00%,56.00%,26.00%,0.00%
0 1,95.00%,100.00%,88.00%,71.00%,0.00%
Affordable Luxury,38.00%,20.00%,80.00%,26.00%,0.00%
