Pairs,Gemini,Claude,GPT 5,Kimi,Qwen
37 50,42.00%,50.00%,64.00%,43.50%,50.00%
day night,75.25%,65.00%,43.00%,64.50%,99.00%
human alien,90.00%,99.00%,20.75%,41.50%,50.00%
rich poor,83.50%,13.00%,93.47%,77.50%,50.00%
woman man,43.50%,50.00%,87.50%,46.00%,50.00%
cat dog,49.00%,76.50%,41.00%,47.50%,50.00%
black white,50.00%,50.00%,58.00%,55.50%,50.00%
sun moon,98.00%,1.50%,29.39%,54.50%,50.00%
adult child,77.50%,49.00%,65.50%,53.50%,50.00%
1 0,92.00%,89.00%,93.50%,75.00%,50.00%
Luxury Affordable,58.50%,60.00%,82.42%,24.50%,50.00%
